dataset,prn,flag_epoch,flag_raw_start_sample,flag_raw_end_sample_exclusive,next_raw_start_sample,sign_previous,sign_flagged_row,sign_next,transition_previous_to_flag,transition_flag_to_next,source_predicted_edge,alignment_match
OAKBAT.cleanStatic,10,11579,207897274,207902274,207902274,1,1,-1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,11599,207997274,208002274,208002274,-1,-1,1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,11659,208297274,208302274,208302274,1,1,-1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,11679,208397274,208402274,208402274,-1,-1,1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,11719,208597274,208602274,208602274,1,1,-1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,11919,209597273,209602273,209602273,-1,-1,1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,11999,209997273,210002273,210002273,1,1,-1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,12039,210197273,210202273,210202273,-1,-1,1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,12059,210297273,210302273,210302273,1,1,-1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,12119,210597272,210602272,210602272,-1,-1,1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,12139,210697272,210702272,210702272,1,1,-1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,12159,210797272,210802272,210802272,-1,-1,1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,12199,210997272,211002272,211002272,1,1,-1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,12279,211397272,211402272,211402272,-1,-1,1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,12319,211597272,211602272,211602272,1,1,-1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,12359,211797272,211802272,211802272,-1,-1,1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,12379,211897271,211902271,211902271,1,1,-1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,12419,212097271,212102271,212102271,-1,-1,1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,12459,212297271,212302271,212302271,1,1,-1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,12559,212797271,212802271,212802271,-1,-1,1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,12599,212997271,213002271,213002271,1,1,-1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,12619,213097271,213102271,213102271,-1,-1,1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,12659,213297270,213302270,213302270,1,1,-1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,12759,213797270,213802270,213802270,-1,-1,1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,12839,214197270,214202270,214202270,1,1,-1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,12919,214597269,214602269,214602269,-1,-1,1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,12999,214997269,215002269,215002269,1,1,-1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,13019,215097269,215102269,215102269,-1,-1,1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,13039,215197269,215202269,215202269,1,1,-1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,13079,215397269,215402269,215402269,-1,-1,1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,13099,215497269,215502269,215502269,1,1,-1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,13439,217197267,217202267,217202267,-1,-1,1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,13479,217397267,217402267,217402267,1,1,-1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,13519,217597267,217602267,217602267,-1,-1,1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,13599,217997267,218002267,218002267,1,1,-1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,13619,218097267,218102267,218102267,-1,-1,1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,13659,218297267,218302267,218302267,1,1,-1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,13679,218397267,218402267,218402267,-1,-1,1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,13699,218497266,218502266,218502266,1,1,-1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,13739,218697266,218702266,218702266,-1,-1,1,False,True,FLAG_TO_NEXT,True
OAKBAT.cleanStatic,10,13759,218797266,218802266,218802266,1,1,-1,False,True,FLAG_TO_NEXT,True
