observable,status,principal_evidence,reason
raw IQ amplitude/phase,TESTED_PHYSICAL_NO_GO,"M1@461eb4d; CINDER@05c1f9f; MIRAGE@e26ce31","Raw texture was dominated by power/front-end shortcuts; controlled complex features did not reproduce a robust physical gate."
RF fingerprint,TESTED_PHYSICAL_NO_GO,"CINDER@05c1f9f; BITPROBE@8025f33; M1@461eb4d","C4 and NAV-edge operator identity failed clean identifiability or robust relaxed gates; source localization is unavailable with one receiver."
NAV-bit edge response,TESTED_INCONCLUSIVE,"BITPROBE@8025f33; MOSAIC@b90d0f7","BITPROBE's formal inference contract remains inconclusive although post-hoc sensitivity found no robust signal."
correlation peak morphology,TESTED_DATASET_LIMITED,"B0@461eb4d; B0-CS@f3de060; CRISP@ffc7531","The historical B0 signal is developmental; source-distinct normal data and full same-lineage scenarios are unavailable, and later controlled variants did not generalize."
multi-peak/CAF decomposition,TESTED_PHYSICAL_NO_GO,"MOSAIC@b90d0f7; PG-SCC@68ab546; ACAF-NF@442ed57; MIRAGE@e26ce31","Positive controls, multi-PRN recovery, sparse-coordinate advantage, or relation-destruction gates failed."
early/prompt/late SQM,TESTED_PHYSICAL_NO_GO,"B0@461eb4d; MCTD@35b6d4d; GCSPO@4cc0231","E/P/L and nine-tap variants did not establish robust incremental physical evidence once controls and external FPR were enforced."
tracking-loop counterfactual response,TESTED_PHYSICAL_NO_GO,"MCTD@35b6d4d; CRID@5051a0a/2cb8159","Dual/multi-configuration response failed preregistered physical controls; CRID's locked DS3 score had no useful signal."
DLL/PLL innovations,TESTED_PHYSICAL_NO_GO,"GCSPO@4cc0231; CRID@2cb8159; MCTD@35b6d4d","Signed tracking innovations were implemented but failed control, contribution, support, or detection gates."
code phase,TESTED_PHYSICAL_NO_GO,"MOSAIC@b90d0f7; PG-SCC@68ab546; CRID@2cb8159","Delay-space and pull-off response were tested in multiple receiver/correlator formulations without a robust gate."
carrier phase,TESTED_PHYSICAL_NO_GO,"AMCF@ef36f26; MIRAGE@e26ce31; CRID@2cb8159","Complex-phase advantage and phase-destruction evidence were not consistently reproduced."
Doppler,TESTED_PHYSICAL_NO_GO,"GCMR@73543ee; GCSPO@4cc0231; CRID@2cb8159","Doppler and geometry residual models suffered calibration, shortcut, control, or attack-response failures."
code-Doppler consistency,TESTED_INCONCLUSIVE,"GCSPO@4cc0231; GCMR-PI@6b5e478","Source-verified closed-loop transfer and exact residual reproduction were incomplete, so no physical no-go is claimed for the entire consistency class."
pseudorange/carrier consistency,PROMISING_BUT_UNVALIDATED,"Candidate 1; Gao et al. DOI 10.1109/TST.2013.6678905","No repository detector used authenticated pseudorange/carrier solution closure as its frozen primary score; direct prior art makes novelty weak."
cross-PRN common clock,TESTED_INCONCLUSIVE,"GCSPO@4cc0231; Q-COMET@0835fe0; CORA@3e6149f","Common-state/onset tests failed or were source/support incomplete, but an actual receiver clock-bias/drift closure was not isolated."
cross-PRN common emitter,TESTED_PHYSICAL_NO_GO,"CORA@3e6149f; CINDER@05c1f9f; BITPROBE@8025f33","Rank-one cumulant/common-origin and emitter-fingerprint hypotheses failed clean/external gates or robust sensitivity."
"C/N0, AGC, total power",TESTED_PHYSICAL_NO_GO,"M1@461eb4d; NC-TOPI@c6954a8; CINDER@05c1f9f","These quantities repeatedly acted as shortcuts or nuisance baselines and are not credible primary spoofing evidence."
telemetry/NAV consistency,TESTED_INCONCLUSIVE,"BITPROBE@8025f33; MOSAIC@b90d0f7; MIRAGE@e26ce31","NAV mapping/parity/TOW supported alignment, but content consistency was not validated as a detector and coherent replay can preserve it."
temporal change point,TESTED_PHYSICAL_NO_GO,"Q-COMET@0835fe0; AMCF@ef36f26; M1@461eb4d","Causal onset/common-change models failed plausible onset reproduction or were dominated by transition/front-end effects."
receiver reacquisition/lock dynamics,TESTED_PHYSICAL_NO_GO,"MOSAIC@b90d0f7; Q-SET@798667d; GCMR@461eb4d","Lock/reacquisition effects were present but not discriminative, were receiver-configuration dependent, or invalidated support."
PRN set aggregation,TESTED_DATASET_LIMITED,"B0@461eb4d; CMTE@1537c95; Q-SET@798667d; AMCF@ef36f26","Dynamic-set aggregation is implemented, but B0 lacks source-distinct validation, CMTE grouped N=1, and Q-SET stopped on receiver support."
position/time solution consistency,PROMISING_BUT_UNVALIDATED,"Candidate 1; SCV-RCS DOI 10.3390/s26020397","PVT/clock consistency is supported by literature and existing receiver outputs in principle, but was not frozen and validated here and lacks a distinct WCL novelty claim."
