model,branch,final_sha,hypothesis,input_data,physical_observables,features,model_structure,training,threshold,attack_data_used,gate,terminal_result,failure_cause,failure_type,texbat_repeat_risk,substantive_duplicates,evidence
B0,origin/main,461eb4dc7bb794e719295daf028f6811658ba37f,Normal per-PRN nine-tap peak-shape dynamics become jointly surprising during spoofing.,TEXBAT cleanStatic/cleanDynamic; DS1-DS4,prompt-normalized E4..L4 magnitudes and cross-PRN support,nine tap ratios; GRU next-window standardized residual RMSE; binomial-tail exceedance counts,shared PRN-local GRU plus causal EWMA binomial-tail gate,normal-only PRN holdout,"cleanStatic+cleanDynamic q99, strict exceedance",true,reported DS1-DS4 onset performance; no later source-distinct gate,HISTORICAL_DEVELOPMENTAL_BASELINE_NOT_DEPLOYMENT_VALIDATED,Strong developmental results were not backed by a source-distinct clean session and later controlled lineage exposed nuisance/provenance limits.,DATASET_LIMITED,HIGH,"B0-CS, CMTE, AMCF, CLIF-IP, CRISP",461eb4dc7bb794e719295daf028f6811658ba37f:docs/BINOMIAL_TAIL_GATE_BASELINE.md | 461eb4dc7bb794e719295daf028f6811658ba37f:artifacts/ai_morph_gru_cleanStatic_q70_frame/training_summary.json | 461eb4dc7bb794e719295daf028f6811658ba37f:scripts/eval_btail_support_gate.py
B0-CS,origin/research/b0-cs-stage0-static,f3de06040ae5f2f70a267e035c882756e397ba92,A chronologically leakage-controlled B0 residual can support conformal sequential evidence.,"TEXBAT cleanStatic; DS3 available, DS4/DS7-8 unavailable under frozen contract",nine-tap prompt-relative magnitude,"GRU residual conformal p-values, e-values, block-max/e-process",shared GRU plus conformal accumulation,clean chronological train/validation/calibration/holdout,clean-calibrated q99 and alarm capital 100,true,"clean FPR, controls, two core families, linear-AR comparison, source-distinct normal",PIVOT_TO_PROVENANCE_EVALUATION_PAPER,"Controls alarmed, only DS3 was available, and source-distinct normal/generalization evidence was absent.",MIXED_DATASET_AND_PHYSICAL,HIGH,"B0, CMTE",f3de06040ae5f2f70a267e035c882756e397ba92:artifacts/b0_cs_stage0_static/README.md | f3de06040ae5f2f70a267e035c882756e397ba92:artifacts/b0_cs_stage0_static/final_verdict.json | f3de06040ae5f2f70a267e035c882756e397ba92:artifacts/b0_cs_stage0_static/preregistration.json
M1 raw-IQ continuity,origin/main,461eb4dc7bb794e719295daf028f6811658ba37f,A local authentic RF/noise fingerprint trajectory breaks when a spoofer source enters.,TEXBAT DS2/DS3/DS4/DS7 raw IQ with per-recording authentic prefix,"raw I/Q moments, phase increments, autocorrelation, PSD, amplitude differences",robust standardized compact raw-IQ texture,PCA plus linear autoregressive continuity predictor and EWMA,same-recording normal prefix only,prefix q99,true,exploratory onset metrics; required shortcut ablations not completed,EXPLORATORY_RESEARCH_NOTE_ONLY,"Power, AGC, spectrum, quantization, and scenario-construction shortcuts were not isolated; DS3/DS4 had pre-onset/gap alarms.",DATASET_LIMITED,HIGH,"CINDER, NC-TOPI raw-IQ shortcut, BITPROBE RF operator",461eb4dc7bb794e719295daf028f6811658ba37f:docs/RAW_IQ_NOISE_CONTINUITY_SECOND_METHOD.md | 461eb4dc7bb794e719295daf028f6811658ba37f:scripts/iq_noise_continuity_detector.py
GCMR,origin/research/gcmr-v2,73543ee5380618b5be4d06e71e528cb073e11d76,Geometry-conditioned cross-PRN tracking relations deviate under a common spoofing source.,TEXBAT cleanStatic and DS1-DS4 receiver outputs,"Doppler geometry, DLL/PLL, complex-tap microstructure, pair relations","pairwise residual correlations/differences conditioned on LOS, elevation, Doppler, C/N0 and lock",geometry-conditioned relational neural model with single/multi alarms,cleanStatic-only chronological roles,clean reference/calibration quantiles,true,sealed clean plus DS1-DS4 external score; no terminal GO contract,NEGATIVE_OR_WEAK_DEVELOPMENTAL_RESULT,V1 threshold was inflated by PRN-8 reacquisition; V2 reduced that failure but produced weak/inconsistent multi-PRN alarm rates and no validated terminal detector claim.,MIXED_IMPLEMENTATION_AND_PHYSICAL,HIGH,"GCSPO, CORA, Q-COMET",73543ee5380618b5be4d06e71e528cb073e11d76:artifacts/frozen/gcmr-v2-texbat-cleanstatic-seed23/summary.json | 73543ee5380618b5be4d06e71e528cb073e11d76:src/gnss_doppler_lab/gcmr_model.py | 73543ee5380618b5be4d06e71e528cb073e11d76:src/gnss_doppler_lab/gcmr_relations.py
GCMR-PI,origin/research/gcmr-pi-r4-corrected,6b5e478d5efecab54515051e25473e385b1f3f67,Shared direction in frozen GCMR predictor innovations is specific evidence beyond marginal residual energy.,frozen OAKBAT 3-tap GCMR artifacts; attempted OS1 diagnostic,predictor innovations and pair direction,common/pair innovation scores and relation destruction,"frozen GRU, whitener, relation scorer",frozen normal checkpoint; no retraining,frozen normal quantiles intended,false,exact score reproduction before relation destruction,FAIL_CLOSED_EXACT_REPRODUCTION_MISMATCH,Raw residual-to-whitener path did not reproduce R3 scores; cache proxies were scientifically inadmissible.,IMPLEMENTATION_FAILURE,HIGH,"GCMR, TRCD",6b5e478d5efecab54515051e25473e385b1f3f67:artifacts/gcmr_pi_r4_corrected/README.md | 6b5e478d5efecab54515051e25473e385b1f3f67:artifacts/gcmr_pi_r4_corrected/blocker_evidence.json
TRCD,origin/main,461eb4dc7bb794e719295daf028f6811658ba37f,Same-event signed B0 tap innovations share a common drive across PRNs during spoofing.,planned OAKBAT cleanStatic and OS1-OS4 preprocessed nine-tap nodes,signed standardized tap prediction innovations,"leave-one-PRN-out median innovation direction, positive alignment, joint evidence",frozen B0 plus robust relation score and causal EWMA,frozen B0; clean calibration only,clean calibration q95/q99,false,implemented evaluation contract; no committed result artifact,IMPLEMENTED_NOT_TERMINALLY_EVALUATED,No committed execution/verdict exists at the audited base.,NOT_EVALUATED,HIGH,"GCMR-PI, CORA, Q-COMET",461eb4dc7bb794e719295daf028f6811658ba37f:src/gnss_doppler_lab/tap_residual_common_drive.py | 461eb4dc7bb794e719295daf028f6811658ba37f:scripts/eval_oakbat_trcd.py
DA-PFRT,origin/main,461eb4dc7bb794e719295daf028f6811658ba37f,A domain-adaptive relational transformer over peak-floor features predicts clean temporal structure and exposes spoofing residuals.,configured OAKBAT peak-floor manifests,correlator peak/floor complex or magnitude relations,peak-floor relational tokens,relational transformer,normal-only configuration contract,clean-calibrated intended,false,implementation tests only; no compact result,IMPLEMENTED_NOT_TERMINALLY_EVALUATED,No committed science result; it also repackages the peak-morphology observable.,NOT_EVALUATED,HIGH,"B0, AMCF, PG-SCC",461eb4dc7bb794e719295daf028f6811658ba37f:configs/da_pfrt_oakbat_manifest.json | 461eb4dc7bb794e719295daf028f6811658ba37f:scripts/train_da_peak_floor_relational_transformer.py
Peak-Floor DIC/PFCP,origin/main,461eb4dc7bb794e719295daf028f6811658ba37f,Conditional predictive or dynamic-innovation dependence among peak-floor coordinates changes under spoofing.,normal peak-floor tables with scoring adapters,correlator peak/floor morphology and temporal dependence,dynamic innovation copula and contrastive predictive residual,compact predictors/encoders,normal-only,clean calibration intended,false,tests and scorer code only,IMPLEMENTED_NOT_TERMINALLY_EVALUATED,No terminal artifact; physical input is not independent of the audited morphology family.,NOT_EVALUATED,HIGH,"B0, DA-PFRT, AMCF",461eb4dc7bb794e719295daf028f6811658ba37f:src/gnss_doppler_lab/peak_floor_dic.py | 461eb4dc7bb794e719295daf028f6811658ba37f:scripts/train_peak_floor_contrastive_predictive.py
ACAF-NF,origin/research/acaf-nf-stage1-r3-static-detection,442ed57e25a84eab0ddcecfc61f073c9d01cf837,A prompt-normalized local delay-Doppler CAF field admits a compact normal neural field whose residual changes during pull-off.,TEXBAT cleanStatic; DS3/DS4/DS7/DS8,complex local cross-ambiguity function over delay and Doppler,"L20 robust CAF coordinates, dense and actively queried budgets",normal neural field with context/no-context variants,cleanStatic chronological roles,clean calibration q99/q99.5,true,"two families, clean/external FPR, active budget, controls, B0 lineage",ACAF_NF_INCONCLUSIVE,"DS4 lacked established pull-off coverage, exact B0 lineage was unavailable, and some aligned scenarios were unavailable.",DATASET_LIMITED,HIGH,"PG-SCC, MOSAIC, MIRAGE",442ed57e25a84eab0ddcecfc61f073c9d01cf837:artifacts/acaf_nf_stage1_r3_static_detection/README.md | 442ed57e25a84eab0ddcecfc61f073c9d01cf837:artifacts/acaf_nf_stage1_r3_static_detection/config.json | 442ed57e25a84eab0ddcecfc61f073c9d01cf837:artifacts/acaf_nf_stage1_r3_static_detection/go_no_go.json
AMCF,origin/research/amcf-r1-temporal,ef36f265fca856914b7c79b77fd0a2f85f89b4d1,Complex multi-tap temporal structure and sample-dependent active paths outperform magnitude-only B0.,"TEXBAT cleanStatic; DS1-DS3 development, DS7/DS8 post-exposure exploration",complex nine-tap morphology and temporal order,complex/magnitude all9 windows and active query paths,causal temporal Student-t model with active selector,"normal-only, three seeds",clean q99/q99.5,true,"nine criteria covering clean FPR, phase/time destruction, B0, active selection, DS7/8 guard",WCL_NO_GO,"Complex and temporal ablations won only 3/5, active policy had no utility advantage, stable-pre controls failed, and B0 improvement was 0/5.",PHYSICAL_NO_GO,HIGH,"B0, CLIF-IP, CRISP",ef36f265fca856914b7c79b77fd0a2f85f89b4d1:artifacts/amcf_r1_texbat/README.md | ef36f265fca856914b7c79b77fd0a2f85f89b4d1:artifacts/amcf_r1_texbat/decision.json | ef36f265fca856914b7c79b77fd0a2f85f89b4d1:artifacts/amcf_r1_texbat/model_audit.json
CHORD,origin/research/chord-stage0a-clean-identifiability,f1755eed1707763c00577d80385920bbf4ef6d49,A nuisance-tangent-normal complex nine-tap direction persists by transmitter/PRN origin.,OAKBAT and TEXBAT cleanStatic raw IQ,complex nine-tap projective residual direction,nuisance-normal projective coherence at 1/5/10/30 s lags,non-neural matched pair statistic,clean split covariance/template fitting,"AUC identifiability gate, not attack threshold",false,"AUC, CI, scalar margin, lag, LOPO, availability and dominance",NO_GO_CHORD_CLEAN_IDENTIFIABILITY,Matched Full AUC was approximately 0.50 in both datasets and lag/LOPO/scalar-margin gates failed.,PHYSICAL_NO_GO,HIGH,"CINDER, CORA, CRISP",f1755eed1707763c00577d80385920bbf4ef6d49:artifacts/chord_stage0a_clean_identifiability/README.md | f1755eed1707763c00577d80385920bbf4ef6d49:artifacts/chord_stage0a_clean_identifiability/final_verdict.json | f1755eed1707763c00577d80385920bbf4ef6d49:artifacts/chord_stage0a_clean_identifiability/preregistration.json
CLIF-IP,origin/research/clif-ip-synthetic-normal-r4,3a9ba16e87e5296fcbe248cdf1d68eff39561fcc,"Cross-layer agreement among B0 morphology, raw-IQ continuity, and physics residuals is more robust than marginals.","synthetic clean runs, real TEXBAT/OAK clean and attacks","nine-tap residual, raw-IQ texture, prediction residual and concordance",B0/M1/P3 standardized components and positive co-elevation,Ridge predictors plus covariance fusion,synthetic-only S0 and clean-adapted S1,validation/clean calibration,true,"domain gap, independent clean FPR, alignment destruction, prediction improvement",CORRECTED_COMPLETE_NEGATIVE_MIXED_RESULT,"Synthetic calibration transferred with FPR 1.0, real adaptation remained above target FPR, and P3 never improved P1 prediction MSE.",PHYSICAL_NO_GO,HIGH,B0 plus M1 score fusion,3a9ba16e87e5296fcbe248cdf1d68eff39561fcc:artifacts/clif_ip_synthetic_normal_r4/README.md | 3a9ba16e87e5296fcbe248cdf1d68eff39561fcc:artifacts/clif_ip_synthetic_normal_r4/config.json | 3a9ba16e87e5296fcbe248cdf1d68eff39561fcc:artifacts/clif_ip_synthetic_normal_r4/predictor_comparison.csv
CMTE-A2,origin/research/cmte-a2-texbat-ds78,1537c958f7e82a83a32cd40a7d5c22a1328b3cf8,Conformal evidence from signed nine-dimensional B0 residuals accumulates across the currently available PRN set.,"TEXBAT cleanStatic, DS1-DS4, DS7/DS8",signed nine-tap predictor residual,"Mahalanobis nonconformity, finite-sample conformal p-value, mean negative log p",shared GRU plus covariance/conformal epoch aggregation,cleanStatic chronological roles,clean q99.5 higher,true,"clean FPR, DS7/8 stable-pre and detection, B0 improvement, variable cardinality",PRIMARY_INVALID_NO_GO,"Exact floating timestamps created N=1 pseudo-epochs, invalidating multi-PRN metrics; clean FPR also missed the 1.5% ceiling and B0 improvement failed.",IMPLEMENTATION_FAILURE,HIGH,"B0, Q-SET aggregation",1537c958f7e82a83a32cd40a7d5c22a1328b3cf8:artifacts/cmte_a2_texbat_ds78/README.md | 1537c958f7e82a83a32cd40a7d5c22a1328b3cf8:artifacts/cmte_a2_texbat_ds78/preregistration.json | 1537c958f7e82a83a32cd40a7d5c22a1328b3cf8:artifacts/cmte_a2_texbat_ds78/audit/primary_validity.json
